sci_name_2025,TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,ott_id,ott_name,ott_tax_sources,match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type,underscores,sp_toga,Species,Unnamed: 0,Order,Family,Genus,animal,TOTALINNOVATIONS2025,FOODINNO2025,TECHINNO2025,TOTALINNOVATIONS2025_ResEff,FOODINNO2025_ResEff,TECHINNO2025_ResEff,Range.Size,ResearchEffort,DietBreadth,HabitatBreadth,GenerationLength,GenerationLengthFULL,MaxLongevity,Insularity,UrbanFULL,IUCNStatus2019,StatusCode,PopulationTrend2019,TrendCode,HabitatDestruction,Overexploitation,InvasiveSpecies,CriterionB,Brain_size,Relative_brain_size,Beak_length.Culmen,Beak_length.Nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand.Wing_index,Tail_length,Mass,Habitat,Habitat_density,Migration,Trophic_level,Trophic_niche,Primary_lifestyle,Range_size,buildingcoll,lbuildingcoll,buildingcoll_mig,lbuildingcoll_mig,buildingcoll_nonmig,lbuildingcoll_nonmig,rawtowercoll,ltowercollnonzero,rawturbinecoll,lturbinecollnonxero,ALLcoll,Abundance.estimate,strong_finding,Assembly name,contig N50 (bp),scaffold N50 (bp),Range_size_log,ResearchEffort_log,PopulationTrend2019_encoded,inno_selection
Smithornis_capensis,13228,species,afrbro1,avibase-9EE216F9,African Broadbill,Smithornis capensis,Passeriformes,Calyptomenidae (African and Green Broadbills),283120.0,Smithornis capensis,"ncbi:363769,gbif:2484506,irmng:10219874",canonical_match,Smithornis capensis,concepts_match,Smithornis capensis,concepts_match,Smithornis capensis,concepts_match,Smithornis_capensis,Smithornis capensis,Smithornis_capensis,2797,PASSERIFORMES,CALYPTOMENIDAE,Smithornis,Smithornis_capensis,0,0,0,-0.418399698,-0.285222561,-0.224959778,3751914,15,1,3.603595981,4.2,2.925950717,8.40092949,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.796,-0.045,16.2,10.4,9.8,5.8,16.1,70.1,11.8,57.7,16.9,51.2,23.2,Forest,2,1.0,Carnivore,Invertivore,Insessorial,3751914.0,,,,,,,,,,,,1357048.0,True,HLsmiCap1,67220,1785105,6.574252875081895,1.1760912590556813,1.0,not_innovative
Pitta_novaeguineae,13397,species,eahpit1,avibase-0905824C,Eastern Hooded Pitta,Pitta novaeguineae,Passeriformes,Pittidae (Pittas),6153786.0,Pitta novaeguineae,gbif:8403801,bulk_tnrs_2023,Pitta sordida,child_of,Pitta novaeguineae,concepts_match,Pitta novaeguineae,concepts_match,Pitta_novaeguineae,Pitta sordida,Pitta_sordida,3882,PASSERIFORMES,PITTIDAE,Pitta,Pitta_sordida,1,1,0,0.284891708,0.414876741,-0.218980378,2977202.55,14,1,3.832626992,4.2,3.066488781,8.315794732,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,1.328,-0.107,25.6,15.1,6.0,8.4,38.5,104.8,18.9,86.7,18.1,35.7,64.5,Forest,1,3.0,Carnivore,Invertivore,Terrestrial,2977202.55,1.0,0.0,1.0,0.0,0.0,,,,,,0.0,2196494.0,True,HLpitSor1,41696,176673,6.473808382297012,1.146128035678238,1.0,not_innovative
Tyrannus_savana,17494,species,fotfly,avibase-A2510EF4,Fork-tailed Flycatcher,Tyrannus savana,Passeriformes,Tyrannidae (Tyrant Flycatchers),36409.0,Tyrannus savana,"ncbi:137541,gbif:5229693,irmng:10198959",canonical_match,Tyrannus savana,concepts_match,Tyrannus savana,concepts_match,Tyrannus savana,concepts_match,Tyrannus_savana,Tyrannus savana,Tyrannus_savana,7999,PASSERIFORMES,TYRANNIDAE,Tyrannus,Tyrannus_savana,2,1,1,0.548443221,0.317619392,0.390517435,8167916.45,36,2,5.495819398,4.2,2.835616027,8.545462084,0.0,1,Least-Concern,1.0,stable,2.0,0.0,0.0,0.0,NO,0.725,-0.317,20.1,11.5,6.5,5.4,17.9,105.6,34.2,71.9,32.0,215.0,31.9,Grassland,3,3.0,Carnivore,Invertivore,Insessorial,8167916.45,3.0,0.477121255,,,,,,,,,0.477121255,22726220.0,True,HLtyrSav1,72317,436182,6.912111286682975,1.5563025007672873,2.0,not_innovative
Manacus_vitellinus,15766,species,gocman1,avibase-84F26B47,Golden-collared Manakin,Manacus vitellinus,Passeriformes,Pipridae (Manakins),640833.0,Manacus vitellinus,"ncbi:328815,gbif:2487668,irmng:11193831",canonical_match,Manacus manacus,child_of,Manacus vitellinus,concepts_match,Manacus vitellinus,concepts_match,Manacus_vitellinus,Manacus vitellinus,Manacus_vitellinus,6064,PASSERIFORMES,PIPRIDAE,Manacus,Manacus_vitellinus,0,0,0,-0.468454554,-0.319526552,-0.254464048,118914.75,21,2,1.582601181,6.3,2.464029295,9.483014321,0.0,0,Least-Concern,1.0,stable,2.0,0.0,0.0,0.0,NO,0.631,-0.14,13.3,7.0,4.3,4.1,20.7,54.7,7.4,47.1,13.6,35.0,18.16,Forest,1,1.0,Herbivore,Frugivore,Insessorial,118914.75,,,,,,,,,,,,428710.0,True,HLmanVit1,290580,17883582,5.075235727169627,1.3222192947339193,2.0,not_innovative
Alauda_arvensis,22615,species,skylar,avibase-ED2AC04E,Eurasian Skylark,Alauda arvensis,Passeriformes,Alaudidae (Larks),312548.0,Alauda arvensis,"ncbi:88112,worms:558531,gbif:8077224,irmng:10188422",canonical_match,Alauda arvensis,concepts_match,Alauda arvensis,concepts_match,Alauda arvensis,concepts_match,Alauda_arvensis,Alauda arvensis,Alauda_arvensis,3418,PASSERIFORMES,ALAUDIDAE,Alauda,Alauda_arvensis,3,3,0,0.432637702,0.734245262,-0.540460953,26018285.25,481,3,6.975992753,4.3,2.833403383,11.58548226,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.97,-0.114,14.6,8.8,4.4,4.7,23.6,106.7,36.0,70.8,33.6,67.6,37.31,Grassland,3,2.0,Omnivore,Omnivore,Terrestrial,26018285.25,,,,,,,,,,,,36454980.0,True,HLalaArv1,79699,1430931,7.415278670741999,2.682145076373832,1.0,not_innovative
Phylloscopus_sibilatrix,24792,species,woowar,avibase-572C4C7F,Wood Warbler,Phylloscopus sibilatrix,Passeriformes,Phylloscopidae (Leaf Warblers),726302.0,Phylloscopus sibilatrix,"ncbi:48153,irmng:10198948",canonical_match,Rhadina sibilatrix,concepts_match,Phylloscopus sibilatrix,concepts_match,Phylloscopus sibilatrix,concepts_match,Phylloscopus_sibilatrix,Rhadina sibilatrix,Phylloscopus_sibilatrix,3870,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,Phylloscopus_sibilatrix,0,0,0,-0.775331896,-0.529838161,-0.435349434,6359810.96,154,2,3.585798817,3.6,2.314825941,10.25,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.361,-0.317,13.2,6.7,2.8,2.8,18.0,75.8,23.3,52.3,30.9,50.7,9.2,Forest,1,3.0,Carnivore,Invertivore,Insessorial,6359810.96,4.0,0.602059991,4.0,0.6,0.0,,,,,,0.602059991,10043652.0,True,HLrhaSib1,38753,335188,6.8034442068042305,2.187520720836463,1.0,not_innovative
Cettia_cetti,25107,species,cetwar1,avibase-F3E9CE95,Cetti's Warbler,Cettia cetti,Passeriformes,Cettiidae (Bush Warblers and Allies),1010418.0,Cettia cetti,"ncbi:68486,gbif:2493012,irmng:10210417",canonical_match,Cettia cetti,concepts_match,Cettia cetti,concepts_match,Cettia cetti,concepts_match,Cettia_cetti,Cettia cetti,Cettia_cetti,4411,PASSERIFORMES,SCOTOCERCIDAE,Cettia,Cettia_cetti,1,0,1,-0.075979399,-0.525585484,0.2614554,5290133.33,148,2,3.819728624,3.7,2.179789764,9.3,0.0,0,Least-Concern,1.0,increasing,3.0,0.0,0.0,0.0,NO,0.578,-0.049,14.3,7.6,2.4,3.0,20.3,60.6,8.7,51.9,14.3,58.2,13.22,Shrubland,2,1.0,Carnivore,Invertivore,Generalist,5290133.33,,,,,,,,,,,,7353439.0,True,HLcetCet1,62878,64977,6.723466617924329,2.1702617153949575,3.0,not_innovative
Aegithalos_caudatus,25209,species,lottit1,avibase-547163C2,Long-tailed Tit,Aegithalos caudatus,Passeriformes,Aegithalidae (Long-tailed Tits),467867.0,Aegithalos caudatus,"ncbi:73327,irmng:10464775",canonical_match,Aegithalos caudatus,concepts_match,Aegithalos caudatus,concepts_match,Aegithalos caudatus,concepts_match,Aegithalos_caudatus,Aegithalos caudatus,Aegithalos_caudatus,7397,PASSERIFORMES,AEGITHALIDAE,Aegithalos,Aegithalos_caudatus,5,4,1,0.961382426,1.041875776,0.225352005,18247301.19,219,4,4.814201183,4.2,2.393004781,10.8,0.0,1,Least-Concern,1.0,stable,2.0,0.0,0.0,0.0,NO,0.438,-0.085,7.6,4.2,2.5,3.3,15.9,63.1,14.0,49.5,22.0,87.8,8.6,Forest,2,1.0,Carnivore,Invertivore,Insessorial,18247301.19,,,,,,,,,,,,18889928.0,True,HLaegCau1,34055,311465,7.261198640575358,2.3404441148401185,2.0,food_type_innovative
Sylvia_atricapilla,25267,species,blackc1,avibase-61F9065B,Eurasian Blackcap,Sylvia atricapilla,Passeriformes,Sylviidae (Sylviid Warblers and Allies),726312.0,Sylvia atricapilla,"ncbi:48155,worms:558593,gbif:2492956,irmng:10220691",canonical_match,Sylvia atricapilla,concepts_match,Sylvia atricapilla,concepts_match,Sylvia atricapilla,concepts_match,Sylvia_atricapilla,Sylvia atricapilla,Sylvia_atricapilla,4610,PASSERIFORMES,SYLVIIDAE,Sylvia,Sylvia_atricapilla,9,7,2,1.302654023,1.395679297,0.530875406,8628077.66,646,3,5.483527415,4.0,2.509753403,11.58,0.0,1,Least-Concern,1.0,increasing,3.0,0.0,0.0,0.0,NO,0.647,-0.068,15.2,7.2,3.2,3.4,20.8,75.9,20.5,55.4,27.0,62.2,16.7,Woodland,1,3.0,Omnivore,Omnivore,Insessorial,8628077.66,2.0,0.301029996,0.0,,2.0,0.3,,,,,0.301029996,25867223.0,True,HLsylAtr1,7345957,72978054,6.935914045465936,2.8102325179950842,3.0,food_type_innovative
Sylvia_borin,25273,species,garwar1,avibase-A6A4FC63,Garden Warbler,Sylvia borin,Passeriformes,Sylviidae (Sylviid Warblers and Allies),261410.0,Sylvia borin,"ncbi:73324,worms:558594,gbif:2492942,irmng:11039391",canonical_match,Sylvia borin,concepts_match,Sylvia borin,concepts_match,Sylvia borin,concepts_match,Sylvia_borin,Sylvia borin,Sylvia_borin,4014,PASSERIFORMES,SYLVIIDAE,Sylvia,Sylvia_borin,1,1,0,-0.181192699,0.095456085,-0.493708573,9648408.47,290,3,5.799409061,4.0,3.591084482,19.0835,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.629,-0.144,15.1,7.2,3.5,3.6,20.1,78.7,23.6,55.2,30.0,57.9,18.2,Woodland,1,3.0,Omnivore,Omnivore,Insessorial,9648408.47,,,,,,,,,,,,13552732.0,True,HLsylBor1,31914676,72750092,6.984455681250459,2.462397997898956,1.0,not_innovative
Leiothrix_lutea,26565,species,reblei,avibase-E147E79E,Red-billed Leiothrix,Leiothrix lutea,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),965458.0,Leiothrix lutea,"ncbi:36275,gbif:5231398,irmng:11194634",canonical_match,Leiothrix lutea,concepts_match,Leiothrix lutea,concepts_match,Leiothrix lutea,concepts_match,Leiothrix_lutea,Leiothrix lutea,Leiothrix_lutea,3336,PASSERIFORMES,LEIOTRICHIDAE,Leiothrix,Leiothrix_lutea,0,0,0,-0.641135466,-0.437869601,-0.356248863,2885282.76,65,2,3.798197296,5.6,4.392865379,15.0,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.931,0.157,13.7,7.1,3.5,4.6,23.7,68.2,8.6,58.9,12.8,59.2,21.39,Shrubland,1,1.0,Carnivore,Invertivore,Insessorial,2885282.76,,,,,,,,,,,,5802077.0,True,HLleiLut1,27764,297511,6.460188380781249,1.8129133566428555,1.0,not_innovative
Hirundo_rustica,24187,species,barswa,avibase-58C502EA,Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),1040135.0,Hirundo rustica,"ncbi:43150,worms:212750,gbif:9515886,irmng:11035556",canonical_match,Hirundo rustica,concepts_match,Hirundo rustica,concepts_match,Hirundo rustica,concepts_match,Hirundo_rustica,Hirundo rustica,Hirundo_rustica,3699,PASSERIFORMES,HIRUNDINIDAE,Hirundo,Hirundo_rustica,20,4,16,1.929449065,0.846765433,2.19760713,51701054.06,1345,2,5.811854513,3.9,3.132150175,16.0,0.0,1,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.553,-0.264,12.4,6.0,4.5,2.7,11.7,115.8,62.3,56.0,52.6,71.4,17.91,Human Modified,3,3.0,Carnivore,Invertivore,Aerial,51701054.06,35.0,1.544068044,8.0,0.9,20.0,1.3,4.0,0.602059991,24.0,1.380211242,1.799340549,1076122004.0,True,HLhirRus2,2794774,76187387,7.7134993974029396,3.128722284338427,1.0,technical_innovative
Hippolais_icterina,23651,species,ictwar1,avibase-869C978C,Icterine Warbler,Hippolais icterina,Passeriformes,Acrocephalidae (Reed Warblers and Allies),433851.0,Hippolais icterina,"ncbi:68497,gbif:2493220,irmng:10217552",canonical_match,Hippolais icterina,concepts_match,Hippolais icterina,concepts_match,Hippolais icterina,concepts_match,Hippolais_icterina,Hippolais icterina,Hippolais_icterina,3697,PASSERIFORMES,ACROCEPHALIDAE,Hippolais,Hippolais_icterina,0,0,0,-0.751271269,-0.513348741,-0.421167169,6330920.54,132,2,3.393071795,4.0,2.397269081,10.83,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,0.477,-0.241,17.5,9.1,3.8,3.4,20.6,77.9,24.0,53.8,30.8,54.6,13.2,Woodland,1,3.0,Carnivore,Invertivore,Insessorial,6330920.54,,,,,,,,,,,,5802461.0,True,HLhipIct1,64762,494139,6.801466862683358,2.12057393120585,1.0,not_innovative
